team,mean,min,max,std
22,4.62,3,8,1.0562196741208714
29,4.54,2,7,0.9425497334358542
21,4.5,3,6,0.7280109889280518
30,4.5,3,7,0.9848857801796105
24,4.44,3,7,0.8979977728257459
17,4.44,3,8,0.9414881836751857
20,4.44,3,6,0.8522910301065006
12,4.4,3,7,0.9797958971132712
23,4.38,3,7,1.017644338656684
27,4.38,3,6,0.8692525524840291
8,4.36,3,6,0.7939773296511684
26,4.34,3,6,0.8151073548925932
15,4.34,3,6,0.9297311439335567
7,4.32,3,8,0.988736567544662
14,4.32,3,6,0.76
5,4.3,3,6,0.8774964387392122
2,4.28,3,7,1.0007996802557444
13,4.28,3,6,0.8255906976220118
3,4.28,3,7,0.8726969691708572
4,4.26,3,6,0.8440379138403677
9,4.26,3,7,0.7952358140828416
16,4.26,2,6,0.8199999999999998
1,4.24,2,7,0.9068627239003707
10,4.22,3,6,0.8316249154516717
25,4.2,3,7,0.848528137423857
19,4.18,3,6,0.7922120928135344
6,4.14,3,7,0.8946507698538017
18,4.12,3,7,0.8400000000000001
11,4.08,3,6,0.7704544113703289
28,4.06,3,5,0.7592101158440923
